m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,runner latency
1024,1024,1024,64,256,8,64,1210.75
1024,1024,1024,64,256,8,128,898.35
1024,1024,1024,64,256,8,256,441.95
1024,1024,1024,64,256,16,16,2492.9
1024,1024,1024,64,256,16,32,1279.3
1024,1024,1024,64,256,16,64,687.4
1024,1024,1024,64,256,16,128,400.75
1024,1024,1024,64,256,16,256,278.1
1024,1024,1024,64,256,32,16,1312.95
1024,1024,1024,64,256,32,32,713.1
1024,1024,1024,64,256,32,64,409.15
1024,1024,1024,64,256,32,128,292.45
1024,1024,1024,64,256,64,16,1119.55
1024,1024,1024,64,256,64,32,645.05
1024,1024,1024,64,256,64,64,392.75
1024,1024,1024,64,256,128,16,1433.1
1024,1024,1024,64,256,128,32,814.3
1024,1024,1024,64,512,8,16,5108.85
1024,1024,1024,64,512,8,32,2666.5
1024,1024,1024,64,512,8,64,1464.1
1024,1024,1024,64,512,8,128,1057.2
1024,1024,1024,64,512,8,256,460.85
1024,1024,1024,64,512,16,16,2789.7
1024,1024,1024,64,512,16,32,1562.05
1024,1024,1024,64,512,16,64,0.0
1024,1024,1024,64,512,16,128,409.6
1024,1024,1024,64,512,16,256,309.3
1024,1024,1024,64,512,32,16,1373.65
1024,1024,1024,64,512,32,32,791.35
1024,1024,1024,64,512,32,64,420.25
1024,1024,1024,64,512,32,128,278.95
1024,1024,1024,64,512,64,16,1336.1
1024,1024,1024,64,512,64,32,764.85
1024,1024,1024,64,512,64,64,354.1
1024,1024,1024,64,512,128,16,0.0
1024,1024,1024,64,512,128,32,562.7
1024,1024,1024,64,1024,8,16,5857.6
1024,1024,1024,64,1024,8,32,3008.45
1024,1024,1024,64,1024,8,64,1378.7
1024,1024,1024,64,1024,8,128,917.45
1024,1024,1024,64,1024,8,256,0.0
1024,1024,1024,64,1024,16,16,3202.25
1024,1024,1024,64,1024,16,32,2004.85
1024,1024,1024,64,1024,16,64,1108.1
1024,1024,1024,64,1024,16,128,0.0
1024,1024,1024,64,1024,16,256,363.3
1024,1024,1024,64,1024,32,16,2034.25
1024,1024,1024,64,1024,32,32,1482.85
1024,1024,1024,64,1024,32,64,851.25
1024,1024,1024,64,1024,32,128,0.0
1024,1024,1024,64,1024,64,16,1223.05
1024,1024,1024,64,1024,64,32,723.5
1024,1024,1024,64,1024,64,64,448.75
1024,1024,1024,64,1024,128,16,1312.75
1024,1024,1024,64,1024,128,32,768.25
1024,1024,1024,128,8,8,16,6794.05
1024,1024,1024,128,8,8,32,0.0
1024,1024,1024,128,8,8,64,1912.4
1024,1024,1024,128,8,8,128,912.05
1024,1024,1024,128,16,8,16,3269.1
