m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,64,8,8,128,5638.25,6369.0,5362.0
1024,1024,1024,64,8,8,256,5696.2,6200.0,5612.0
1024,1024,1024,64,16,8,16,4782.4,5499.0,4602.0
1024,1024,1024,64,16,8,32,5981.95,6541.0,5778.0
1024,1024,1024,64,16,8,64,5780.3,6457.0,5655.0
1024,1024,1024,64,16,8,128,5487.6,5941.0,5345.0
1024,1024,1024,64,16,8,256,5601.2,5941.0,5365.0
1024,1024,1024,64,16,16,16,3597.55,4045.0,3285.0
1024,1024,1024,64,16,16,32,4666.05,5234.0,4484.0
1024,1024,1024,64,16,16,64,4390.15,5142.0,4222.0
1024,1024,1024,64,16,16,128,0.0,0.0,0.0
1024,1024,1024,64,16,16,256,4117.9,4694.0,4039.0
1024,1024,1024,64,32,8,16,4594.1,4601.0,4590.0
1024,1024,1024,64,32,8,32,6065.5,6326.0,5760.0
1024,1024,1024,64,32,8,64,5954.9,6548.0,5866.0
1024,1024,1024,64,32,8,128,5706.95,6386.0,5367.0
1024,1024,1024,64,32,8,256,5619.45,5760.0,5331.0
1024,1024,1024,64,32,16,16,3371.3,3705.0,3283.0
1024,1024,1024,64,32,16,32,4721.2,4984.0,4406.0
1024,1024,1024,64,32,16,64,4509.35,5068.0,4225.0
1024,1024,1024,64,32,16,128,4413.4,4829.0,4105.0
1024,1024,1024,64,32,16,256,4160.8,4489.0,4015.0
1024,1024,1024,64,32,32,16,6645.8,7155.0,6268.0
1024,1024,1024,64,32,32,32,6556.55,6820.0,6293.0
1024,1024,1024,64,32,32,64,6357.45,6678.0,6060.0
1024,1024,1024,64,32,32,128,6155.05,6798.0,5957.0
1024,1024,1024,64,64,8,16,4591.95,4620.0,4579.0
1024,1024,1024,64,64,8,32,5928.95,6402.0,5783.0
1024,1024,1024,64,64,8,64,5924.25,6548.0,5602.0
1024,1024,1024,64,64,8,128,5711.05,6113.0,5380.0
1024,1024,1024,64,64,8,256,5734.1,6253.0,5357.0
1024,1024,1024,64,64,16,16,3494.7,3906.0,3290.0
1024,1024,1024,64,64,16,32,4809.45,5147.0,4501.0
1024,1024,1024,64,64,16,64,4344.1,4790.0,4189.0
1024,1024,1024,64,64,16,128,4323.2,4565.0,4070.0
1024,1024,1024,64,64,16,256,4325.4,4951.0,4044.0
1024,1024,1024,64,64,32,16,0.0,0.0,0.0
1024,1024,1024,64,64,32,32,6450.4,6685.0,6201.0
1024,1024,1024,64,64,32,64,6287.6,6941.0,6115.0
1024,1024,1024,64,64,32,128,6032.7,6125.0,5990.0
1024,1024,1024,64,64,64,16,6548.5,7313.0,6316.0
1024,1024,1024,64,64,64,32,6503.2,6730.0,6188.0
1024,1024,1024,64,64,64,64,6445.65,6717.0,6233.0
1024,1024,1024,64,128,8,16,4857.3,5165.0,4614.0
1024,1024,1024,64,128,8,32,6047.5,6408.0,5791.0
1024,1024,1024,64,128,8,64,5891.05,6244.0,5667.0
1024,1024,1024,64,128,8,128,5717.95,6163.0,5344.0
1024,1024,1024,64,128,8,256,5352.6,5838.0,5273.0
1024,1024,1024,64,128,16,16,3576.6,3993.0,3315.0
1024,1024,1024,64,128,16,32,4767.65,4967.0,4549.0
1024,1024,1024,64,128,16,64,4509.2,4803.0,4221.0
1024,1024,1024,64,128,16,128,4320.2,4554.0,4072.0
1024,1024,1024,64,128,16,256,4219.95,4421.0,4053.0
1024,1024,1024,64,128,32,16,6653.2,6946.0,6320.0
1024,1024,1024,64,128,32,32,6372.7,6467.0,6152.0
1024,1024,1024,64,128,32,64,6400.6,6968.0,6145.0
1024,1024,1024,64,128,32,128,0.0,0.0,0.0
1024,1024,1024,64,128,64,16,6633.3,7097.0,6322.0
1024,1024,1024,64,128,64,32,6455.7,6723.0,6145.0
1024,1024,1024,64,128,64,64,6309.3,6639.0,6116.0
1024,1024,1024,64,128,128,16,6641.65,6847.0,6346.0
1024,1024,1024,64,128,128,32,6467.8,7005.0,6203.0
1024,1024,1024,64,256,8,16,5141.4,5592.0,4678.0
1024,1024,1024,64,256,8,32,6127.6,6463.0,5895.0
1024,1024,1024,64,256,8,64,5871.4,6236.0,5629.0
1024,1024,1024,64,256,8,128,5744.55,6327.0,5374.0
1024,1024,1024,64,256,8,256,5689.45,5938.0,5346.0
1024,1024,1024,64,256,16,16,3663.15,4009.0,3359.0
1024,1024,1024,64,256,16,32,4614.4,4916.0,4459.0
1024,1024,1024,64,256,16,64,4424.1,4599.0,4219.0
1024,1024,1024,64,256,16,128,4399.95,4567.0,4335.0
1024,1024,1024,64,256,16,256,4395.2,5048.0,4056.0
1024,1024,1024,64,256,32,16,6838.3,7537.0,6475.0
1024,1024,1024,64,256,32,32,6523.5,6822.0,6172.0
1024,1024,1024,64,256,32,64,6374.25,6582.0,6067.0
1024,1024,1024,64,256,32,128,6029.35,6082.0,5969.0
1024,1024,1024,64,256,64,16,6530.3,7276.0,6301.0
1024,1024,1024,64,256,64,32,6441.9,6735.0,6211.0
1024,1024,1024,64,256,64,64,6192.8,6274.0,6120.0
1024,1024,1024,64,256,128,16,6967.8,7522.0,6841.0
1024,1024,1024,64,256,128,32,6400.1,6469.0,6304.0
1024,1024,1024,64,512,8,16,4788.55,5476.0,4693.0
1024,1024,1024,64,512,8,32,6037.05,6331.0,5955.0
1024,1024,1024,64,512,8,64,5835.65,6277.0,5629.0
1024,1024,1024,64,512,8,128,5740.45,5963.0,5412.0
1024,1024,1024,64,512,8,256,5792.55,5972.0,5646.0
1024,1024,1024,64,512,16,16,3599.05,4019.0,3377.0
1024,1024,1024,64,512,16,32,4695.3,5069.0,4453.0
1024,1024,1024,64,512,16,64,4316.7,4697.0,4188.0
1024,1024,1024,64,512,16,128,4433.7,4687.0,4089.0
1024,1024,1024,64,512,16,256,4393.6,4627.0,4086.0
1024,1024,1024,64,512,32,16,6604.3,6944.0,6431.0
1024,1024,1024,64,512,32,32,6541.75,7028.0,6184.0
1024,1024,1024,64,512,32,64,6267.8,6507.0,6049.0
1024,1024,1024,64,512,32,128,6284.2,6495.0,5996.0
1024,1024,1024,64,512,64,16,6657.75,6933.0,6342.0
1024,1024,1024,64,512,64,32,6617.45,6895.0,6331.0
1024,1024,1024,64,512,64,64,6468.1,7170.0,6118.0
1024,1024,1024,64,512,128,16,0.0,0.0,0.0
1024,1024,1024,64,512,128,32,6597.5,6938.0,6241.0
1024,1024,1024,64,1024,8,16,6189.75,6524.0,5582.0
1024,1024,1024,64,1024,8,32,6442.8,6720.0,6186.0
1024,1024,1024,64,1024,8,64,6197.95,6526.0,5930.0
1024,1024,1024,64,1024,8,128,5689.45,6150.0,5485.0
1024,1024,1024,64,1024,8,256,5817.25,6249.0,5468.0
1024,1024,1024,64,1024,16,16,4700.85,5017.0,4337.0
1024,1024,1024,64,1024,16,32,5292.6,5643.0,4841.0
1024,1024,1024,64,1024,16,64,4649.45,4987.0,4369.0
1024,1024,1024,64,1024,16,128,4495.5,4941.0,4243.0
1024,1024,1024,64,1024,16,256,4509.1,4761.0,4387.0
1024,1024,1024,64,1024,32,16,7675.1,8121.0,7227.0
1024,1024,1024,64,1024,32,32,6627.1,7058.0,6341.0
1024,1024,1024,64,1024,32,64,6390.35,6626.0,6069.0
1024,1024,1024,64,1024,32,128,6125.8,6384.0,6029.0
1024,1024,1024,64,1024,64,16,7223.1,7750.0,6637.0
1024,1024,1024,64,1024,64,32,6535.45,6953.0,6265.0
1024,1024,1024,64,1024,64,64,6171.85,6274.0,6107.0
1024,1024,1024,64,1024,128,16,6708.8,6779.0,6626.0
1024,1024,1024,64,1024,128,32,6436.8,6497.0,6387.0
1024,1024,1024,128,8,8,16,6540.1,6822.0,6273.0
1024,1024,1024,128,8,8,32,6189.55,6458.0,5974.0
1024,1024,1024,128,8,8,64,5773.95,6247.0,5599.0
1024,1024,1024,128,8,8,128,5725.15,6362.0,5456.0
1024,1024,1024,128,16,8,16,4912.6,5274.0,4592.0
1024,1024,1024,128,16,8,32,6124.5,6822.0,5869.0
1024,1024,1024,128,16,8,64,5965.25,6476.0,5620.0
1024,1024,1024,128,16,8,128,5746.9,6147.0,5511.0
1024,1024,1024,128,16,16,16,3406.2,3609.0,3260.0
1024,1024,1024,128,16,16,32,4799.5,5016.0,4555.0
1024,1024,1024,128,16,16,64,4538.35,4752.0,4286.0
1024,1024,1024,128,16,16,128,4340.5,4690.0,4092.0
1024,1024,1024,128,32,8,16,4899.5,5547.0,4762.0
1024,1024,1024,128,32,8,32,6265.05,6480.0,5976.0
1024,1024,1024,128,32,8,64,5960.7,6066.0,5653.0
1024,1024,1024,128,32,8,128,5567.35,6168.0,5460.0
1024,1024,1024,128,32,16,16,3316.6,3584.0,3249.0
1024,1024,1024,128,32,16,32,4873.65,5126.0,4545.0
1024,1024,1024,128,32,16,64,4537.3,5243.0,4275.0
1024,1024,1024,128,32,16,128,4394.4,4742.0,4093.0
1024,1024,1024,128,32,32,16,6801.4,6959.0,6662.0
1024,1024,1024,128,32,32,32,6561.05,6861.0,6304.0
1024,1024,1024,128,32,32,64,6343.85,6519.0,6027.0
1024,1024,1024,128,64,8,16,4601.85,4675.0,4573.0
1024,1024,1024,128,64,8,32,6162.05,6443.0,5904.0
1024,1024,1024,128,64,8,64,0.0,0.0,0.0
1024,1024,1024,128,64,8,128,5775.3,6080.0,5488.0
